-999	3	2	2	200.16	2446674102	763094	3206.255195	36423.65025	20.95050866	7938147353	8307416844	8558935579	8558935579	-999	331	0.016110851	0.011417027	1.093031637
-999	-999	6	-999	-999	-999	-999	-999	72.06998159	-999	-999	-999	-999	-999	-999	0	-999	-999	0.0001
5	4	6	2	113.67	18340510789	2303703	7961.317405	580409.0336	3.969102593	36971917288	38045584113	39749578669	40928605205	-999	5609	-999	-999	1.68962411
5	2	6	2	282.27	2220307369	4745179	467.9080323	623047.5481	7.616078443	4013558817	4195263791	4354240946	4483573904	16	4858	0.232023203	0.243551508	0.089810297
3	1	3	1	51.15	1.74E+12	37411038	46414.7942	9877930.679	3.787335548	1.72262E+12	1.77724E+12	1.81303E+12	1.84305E+12	16	203688	1.246786666	0.504294679	4.781974969
-999	-999	2	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0	-999	-999	0.0001
4	1	5	1	20.67	7.03E+11	8544527	82284.53551	40890.62477	208.9605392	5.57418E+11	5.67449E+11	5.83056E+11	5.88472E+11	11	86167	0.054788609	0.040092901	6.71890722
6	1	4	2	69.81	2.82E+11	18952035	14896.45622	756873.2385	25.03990634	4.31948E+11	4.37082E+11	4.54344E+11	4.59135E+11	3	494478	0.153005282	0.128111161	2.351343466
2	4	2	2	49.41	1.43E+13	1433783692	10003.53325	9479589.667	151.2495522	1.85954E+13	1.9887E+13	2.12297E+13	2.25266E+13	9	253112	8.344210354	5.226204949	1.433945069
5	3	6	2	54.15	58792000000	25716554	2286.153891	323620.8633	79.46506827	1.09959E+11	1.18051E+11	1.26071E+11	1.3471E+11	11	20342	0.093691053	0.125405681	0.475171788
5	3	6	2	65.64	38760467033	25876387	1497.90877	467790.8085	55.316151	84327759128	87320624933	90867942646	94518304215	-999	21570	0.160958308	0.200716574	0.344942506
5	2	6	2	197.55	47320000000	86790568	545.2205359	2341034.301	37.07359946	83167671599	86267287184	91289010441	95291603469	7	11065	0.934053682	0.881114783	0.102550191
5	3	6	2	82.44	10821000000	5380504	2011.149885	342582.6359	15.70571137	17947684013	17624446004	17906437141	17745279207	-999	5156	0.108136652	0.130886638	0.330934827
-999	-999	2	2	-999	363000000	-999	-999	231.4857425	-999	-999	-999	-999	-999	-999	0	-999	-999	0.0001
6	4	4	2	114.03	3.24E+11	50339443	6432.387583	1142088.29	44.07666503	6.90702E+11	7.00091E+11	7.17701E+11	7.41545E+11	10	974139	0.161428591	0.161607329	1.41541059
-999	2	6	2	81.57	1185728677	850891	1393.514183	1573.40883	540.7946006	2377220187	2467927827	2552596610	2621906231	-999	504	-999	-999	0.294387027
5	3	6	2	381.12	1977000000	549936	3594.963778	3803.042577	144.6042186	3443232724	3570702549	3732496854	3944045537	12	7901	-999	-999	0.667826695
6	4	4	2	51.87	61773944174	5047561	12238.37496	51863.90788	97.32319075	91089316437	94605544822	97122407363	99146302301	16	97922	0.004520732	0.00361687	1.891822461
6	4	4	2	48.48	1E+11	11333484	8825.441497	111634.1327	101.5234653	-999	-999	-999	-999	9	6305	-999	-999	-999
-999	1	4	2	28.23	3128000000	163423	19140.51266	604.1036335	270.5214651	4152785279	4080536557	3992146786	3992146786	-999	0	-999	-999	2.480926095
-999	-999	2	-999	-999	-999	-999	-999	364.8891819	-999	-999	-999	-999	-999	-999	0	-999	-999	0.0001
-999	1	4	1	909.18	5485419417	64948	84458.63486	349.5039164	185.829105	4270223843	4400010857	4544136436	4544136436	-999	235	-999	-999	6.835663751
-999	-999	2	1	-999	24564647935	875899	28045.06905	5872.322224	149.1571761	31104814563	32461369545	33778207944	34869274568	11	2839	0.002506384	0.002694421	3.77365617
4	1	5	1	21.36	2.46E+11	10649800	23144.96474	78152.86257	136.268841	3.90766E+11	4.07775E+11	4.1938E+11	4.30141E+11	6	193946	0.186496425	0.098754282	3.868762406
4	1	5	1	22.35	3.85E+12	83019213	46322.16919	355933.9282	233.2433253	4.27638E+12	4.38179E+12	4.44872E+12	4.47382E+12	5	380762	1.077131492	0.524938747	5.294171765
5	3	6	2	72.39	3318716359	973557	3408.856759	21540.51768	45.19654609	4375698707	4612122077	4999893743	5373401727	8	5499	9.14E-05	1.00E-04	0.497174697
-999	4	4	2	202.8	596033333.3	71808	8300.375074	834.0144337	86.09922934	866718860.9	807786936.2	826079838.7	872866358.9	-999	33	-999	-999	1.174469417
4	1	5	1	33.33	3.48E+11	5806081	59950.59636	42463.12318	136.7323118	3.11113E+11	3.17448E+11	3.25039E+11	3.32729E+11	14	36373	0.07269855	0.035442995	5.538718822
6	4	4	2	34.56	88941298258	10738957	8282.116993	48287.90541	222.394343	1.68096E+11	1.75941E+11	1.88226E+11	1.97801E+11	12	121973	-999	-999	1.699569206
5	4	6	2	39.57	1.7E+11	43053054	3948.343279	2309639.71	18.64059308	4.71933E+11	4.78068E+11	4.84761E+11	4.88639E+11	12	54839	0.268940835	0.358176514	1.116878826
6	4	4	2	56.58	1.07E+11	17373657	6183.825604	257058.6048	67.58636621	1.90499E+11	1.95011E+11	1.97525E+11	1.97631E+11	14	166367	0.052609578	0.033555809	1.123347321
5	3	6	2	17.91	3.03E+11	100388076	3020.029988	985125.393	101.9038558	1.01963E+12	1.06227E+12	1.11872E+12	1.18089E+12	8	105705	-999	-999	1.091141583
-999	2	6	2	215.37	2065001626	3497117	590.486857	121875.9789	28.69406286	-999	-999	-999	-999	-999	452	0.016475316	0.016387387	-999
-999	-999	6	2	-999	14800000000	582458	25344.31667	270215.9815	2.155527578	-999	-999	-999	-999	-999	766	-999	-999	-999
-999	1	5	1	23.61	1.39E+12	46937060	29701.82433	504422.1876	93.0511408	1.79213E+12	1.84395E+12	1.8873E+12	1.92466E+12	21	0	0.415817084	0.403715758	3.967035527
4	1	5	1	50.19	31386949981	1324820	23691.4826	44551.8965	29.73655678	42132994721	44555137203	46676477891	48699663978	9	4127	0.055504683	0.035489375	3.435641706
5	2	6	2	116.13	96107662398	112078727	857.501374	1135661.481	98.69026012	1.96318E+11	2.15094E+11	2.29755E+11	2.48782E+11	13	90490	0.224007766	0.206337088	0.198509903
4	1	5	1	52.68	2.69E+11	5517919	48706.98562	333312.8598	16.5547738	2.53672E+11	2.61537E+11	2.658E+11	2.68404E+11	11	13849	0.277878084	0.172055229	4.754565061
-999	4	2	2	186.81	5535548972	889955	6220.032443	18525.86092	48.03852321	11177226755	11783674124	12199191151	12328900312	-999	33	-999	-999	1.33402791
-999	1	4	1	915	165000000	3372	48784.10439	11811.88587	0.285475159	-999	-999	-999	-999	-999	13	-999	-999	-999
4	1	5	1	20.34	2.72E+12	67012883	40522.33172	547218.1308	122.4610064	2.93015E+12	2.9973E+12	3.05103E+12	3.09706E+12	18	931511	0.669763469	0.483667495	4.504934825
